299,100.4,693,43.319,3.002e+07
297,92.189,620,44.161,2.738e+07
277,100.53,613,45.429,2.7848e+07
292,81.795,549,43.505,2.3884e+07
281,85.637,569,42.292,2.4064e+07
321,95.215,723,42.274,3.0564e+07
305,108.29,775,42.617,3.3028e+07
327,79.229,622,41.653,2.5908e+07
310,90.697,655,42.925,2.8116e+07
315,94.298,692,42.925,2.9704e+07
293,98.225,658,43.739,2.878e+07
292,89.753,622,42.135,2.6208e+07
308,82.13,609,41.537,2.5296e+07
327,81.761,633,42.237,2.6736e+07
300,75.707,529,42.934,2.2712e+07
282,85.801,553,43.754,2.4196e+07
288,97.889,628,44.892,2.8192e+07
300,93.667,664,42.319,2.81e+07
281,87.516,582,42.254,2.4592e+07
272,81.529,522,42.483,2.2176e+07
319,67.975,526,41.224,2.1684e+07
297,73.118,535,40.591,2.1716e+07
312,96.962,712,42.489,3.0252e+07
276,94.957,601,43.607,2.6208e+07
302,75.947,526,43.605,2.2936e+07
281,89.48,597,42.117,2.5144e+07
285,87.439,570,43.719,2.492e+07
315,100.04,711,44.321,3.1512e+07
303,88.198,616,43.383,2.6724e+07
290,78.014,542,41.742,2.2624e+07
294,74.721,536,40.985,2.1968e+07
323,78.91,603,42.269,2.5488e+07
320,76.638,586,41.85,2.4524e+07
314,92.255,696,41.621,2.8968e+07
282,78.525,524,42.26,2.2144e+07
321,85.645,640,42.956,2.7492e+07
328,101.22,738,44.986,3.32e+07
301,77.209,535,43.439,2.324e+07
305,87.725,611,43.791,2.6756e+07
300,82.52,580,42.683,2.4756e+07
278,85.237,541,43.8,2.3696e+07
291,86.818,572,44.168,2.5264e+07
241,92.299,514,43.276,2.2244e+07
292,93.041,619,43.89,2.7168e+07
291,100.67,663,44.187,2.9296e+07
288,87.514,586,43.01,2.5204e+07
288,76.389,526,41.825,2.2e+07
271,83.631,529,42.843,2.2664e+07
301,86.06,611,42.396,2.5904e+07
277,95.913,612,43.412,2.6568e+07
285,83.018,537,44.06,2.366e+07
295,89.722,629,42.079,2.6468e+07
328,89.707,688,42.767,2.9424e+07
279,87.699,557,43.928,2.4468e+07
297,81.158,563,42.813,2.4104e+07
292,80.973,555,42.602,2.3644e+07
270,86.563,554,42.188,2.3372e+07
276,84.58,528,44.212,2.3344e+07
303,76.607,559,41.524,2.3212e+07
296,78.73,552,42.217,2.3304e+07
300,72.28,514,42.187,2.1684e+07
315,78.044,578,42.533,2.4584e+07
265,72.664,475,40.539,1.9256e+07
317,78.208,569,43.571,2.4792e+07
273,78.93,510,42.251,2.1548e+07
251,89.052,520,42.985,2.2352e+07
304,70.539,522,41.08,2.1444e+07
287,80.599,536,43.157,2.3132e+07
289,83.945,567,42.787,2.426e+07
329,83.587,630,43.651,2.75e+07
297,91.407,638,42.552,2.7148e+07
286,89.636,602,42.585,2.5636e+07
293,82.676,562,43.103,2.4224e+07
272,77.294,505,41.632,2.1024e+07
272,78.971,515,41.709,2.148e+07
318,83.019,606,43.564,2.64e+07
303,94.561,644,44.491,2.8652e+07
329,87.125,657,43.629,2.8664e+07
304,71.092,524,41.244,2.1612e+07
297,84.539,598,41.987,2.5108e+07
302,88.503,669,39.952,2.6728e+07
310,85.923,661,40.297,2.6636e+07
314,81.682,640,40.075,2.5648e+07
278,89.022,619,39.981,2.4748e+07
270,88.311,596,40.007,2.3844e+07
312,82.615,617,41.776,2.5776e+07
292,78.726,571,40.259,2.2988e+07
305,87.764,642,41.695,2.6768e+07
296,82.108,590,41.193,2.4304e+07
312,91.282,658,43.283,2.848e+07
285,94.877,636,42.516,2.704e+07
285,92.126,631,41.61,2.6256e+07
308,73.571,563,40.249,2.266e+07
299,92.455,651,42.464,2.7644e+07
283,83.647,557,42.499,2.3672e+07
283,99.081,656,42.744,2.804e+07
293,104.11,679,44.925,3.0504e+07
295,77.153,543,41.915,2.276e+07
325,79.446,608,42.467,2.582e+07
281,76.085,513,41.676,2.138e+07
289,77.135,520,42.869,2.2292e+07
285,87.046,569,43.599,2.4808e+07
286,80.881,532,43.481,2.3132e+07
302,84.556,589,43.355,2.5536e+07
303,73.637,537,41.549,2.2312e+07
279,75.226,505,41.56,2.0988e+07
263,86.525,538,42.297,2.2756e+07
294,80.34,566,41.731,2.362e+07
268,84.552,527,42.998,2.266e+07
283,85.484,566,42.742,2.4192e+07
305,87.764,648,41.309,2.6768e+07
291,101.21,702,41.954,2.9452e+07
313,77.802,590,41.275,2.4352e+07
276,96.29,627,42.386,2.6576e+07
311,85.916,651,41.045,2.672e+07
300,85.267,600,42.633,2.558e+07
278,98.647,624,43.949,2.7424e+07
322,73.913,594,40.067,2.38e+07
281,81.381,539,42.427,2.2868e+07
295,81.166,582,41.141,2.3944e+07
279,87.082,568,42.775,2.4296e+07
300,73.053,528,41.508,2.1916e+07
298,76.054,551,41.132,2.2664e+07
314,84.904,658,40.517,2.666e+07
271,102.66,639,43.537,2.782e+07
290,72.083,501,41.725,2.0904e+07
306,81.412,620,40.181,2.4912e+07
308,95.052,690,42.429,2.9276e+07
294,82.435,585,41.429,2.4236e+07
306,85.15,626,41.623,2.6056e+07
288,84.111,573,42.276,2.4224e+07
298,82.792,596,41.396,2.4672e+07
290,99.559,677,42.647,2.8872e+07
272,95.574,602,43.183,2.5996e+07
279,94.308,626,42.032,2.6312e+07
273,88.322,569,42.376,2.4112e+07
298,94.322,673,41.765,2.8108e+07
272,101.18,654,42.08,2.752e+07
280,96.943,627,43.292,2.7144e+07
299,83.585,608,41.105,2.4992e+07
272,105.74,671,42.861,2.876e+07
312,92.846,654,44.294,2.8968e+07
293,86.717,599,42.417,2.5408e+07
272,92.676,586,43.017,2.5208e+07
264,64.364,408,41.647,1.6992e+07
293,90.198,615,42.972,2.6428e+07
297,85.077,596,42.396,2.5268e+07
294,82.027,578,41.723,2.4116e+07
293,89.447,621,42.203,2.6208e+07
